CT Image,MR Image
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct1.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri1.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct2.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri2.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct3.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri3.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct4.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri4.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct5.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri5.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct6.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri6.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct7.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri7.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct11.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri11.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct12.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri12.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct13.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri13.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct14.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri14.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct15.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri15.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct16.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri16.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct17.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri17.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct21.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri21.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct22.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri22.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct23.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri23.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct24.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri24.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct25.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri25.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct26.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri26.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct27.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri27.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct31.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri31.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct32.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri32.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct33.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri33.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct34.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri34.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct35.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri35.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct36.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri36.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct37.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri37.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct41.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri41.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct42.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri42.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct43.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri43.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct44.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri44.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct45.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri45.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct46.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri46.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct47.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri47.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct51.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri51.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct52.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri52.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct53.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri53.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct54.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri54.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct55.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri55.png
/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainA/ct56.png,/content/drive/MyDrive/MiniProject/MiniProject/Dataset/images/trainB/mri56.png
